,Groundedness,Concord_Sin,Concord_Con,Sem_Sin,Sem_Con,Ent_Sin,Ent_Con,PrecFact_Sin,PrecFact_Con,Seg_Sin,Seg_Con,Opac_Sin,Opac_Con,PoD_Sin,PoD_Con,Persuas_Sin,Persuas_Con
Groundedness,1.0,0.0420559507800541,-0.10173432491751852,,-0.0902201058878722,0.0420559507800541,-0.07558156874711396,,-0.08926053715211107,,0.1009574692895192,-0.056730632770472536,0.1339766871413539,0.04890835398031671,0.11222888114272037,,-0.06394561122085385
Concord_Sin,0.0420559507800541,1.0,0.17565175967129537,,0.04722991644061211,1.0,0.3607499092537738,,0.07304838425816398,,-0.20951202714193606,0.20690045987050654,-0.0730919277631153,-0.09964999681772505,-0.11348567814816544,,0.12454292126913562
Concord_Con,-0.10173432491751852,0.17565175967129537,1.0,,0.9328900616536637,0.17565175967129537,0.645174946520474,,0.9221169662851264,,0.35077701152656143,-0.006244091873927789,0.00030272522166087254,-0.0982960947151212,-0.842672511586285,,0.6125044666919112
Sem_Sin,,,,,,,,,,,,,,,,,
Sem_Con,-0.0902201058878722,0.04722991644061211,0.9328900616536637,,1.0,0.04722991644061208,0.32670153325216106,,0.9907915921621265,,0.35664059378332086,-0.07301264604884486,0.005676763085106099,-0.07019604269440329,-0.7199847029822904,,0.6798353702950186
Ent_Sin,0.0420559507800541,1.0,0.17565175967129537,,0.04722991644061208,1.0,0.3607499092537738,,0.07304838425816398,,-0.20951202714193606,0.20690045987050654,-0.0730919277631153,-0.09964999681772505,-0.11348567814816544,,0.12454292126913562
Ent_Con,-0.07558156874711396,0.3607499092537738,0.645174946520474,,0.32670153325216106,0.3607499092537738,1.0,,0.31796562483343765,,0.1639368179687878,0.13850252389551113,-0.011250957876899304,-0.10903458024950123,-0.6839705545491221,,0.16514100378214674
PrecFact_Sin,,,,,,,,,,,,,,,,,
PrecFact_Con,-0.08926053715211107,0.07304838425816398,0.9221169662851264,,0.9907915921621265,0.07304838425816398,0.31796562483343765,,1.0,,0.35250412946732695,-0.04630261611546878,-0.005416588839831682,-0.05796251088989397,-0.7087618416453687,,0.6791040160772331
Seg_Sin,,,,,,,,,,,,,,,,,
Seg_Con,0.1009574692895192,-0.20951202714193606,0.35077701152656143,,0.35664059378332086,-0.20951202714193606,0.1639368179687878,,0.35250412946732695,,1.0,0.09523364796341478,-0.13729637273781278,0.03636414644315637,-0.45426008041610866,,0.025330747472915662
Opac_Sin,-0.056730632770472536,0.20690045987050654,-0.006244091873927789,,-0.07301264604884486,0.20690045987050654,0.13850252389551113,,-0.04630261611546878,,0.09523364796341478,1.0,-0.048148829691006596,0.12425850410773735,-0.016403222188473617,,-0.04541006621510756
Opac_Con,0.1339766871413539,-0.0730919277631153,0.00030272522166087254,,0.005676763085106099,-0.0730919277631153,-0.011250957876899304,,-0.005416588839831682,,-0.13729637273781278,-0.048148829691006596,1.0,0.023695197061395376,0.06058845525682475,,0.07516715571895112
PoD_Sin,0.04890835398031671,-0.09964999681772505,-0.0982960947151212,,-0.07019604269440329,-0.09964999681772505,-0.10903458024950123,,-0.05796251088989397,,0.03636414644315637,0.12425850410773735,0.023695197061395376,1.0,0.09081491127078228,,-0.04069025956284432
PoD_Con,0.11222888114272037,-0.11348567814816544,-0.842672511586285,,-0.7199847029822904,-0.11348567814816544,-0.6839705545491221,,-0.7087618416453687,,-0.45426008041610866,-0.016403222188473617,0.06058845525682475,0.09081491127078228,1.0,,-0.16172737730869804
Persuas_Sin,,,,,,,,,,,,,,,,,
Persuas_Con,-0.06394561122085385,0.12454292126913562,0.6125044666919112,,0.6798353702950186,0.12454292126913562,0.16514100378214674,,0.6791040160772331,,0.025330747472915662,-0.04541006621510756,0.07516715571895112,-0.04069025956284432,-0.16172737730869804,,1.0
